scenarioId,profession,letterType,rulebookVersion,finalStatus
MATRIX-speech_pathology-LT-OT,speech_pathology,LT-OT,speech_pathology-other-v1,PASS
MATRIX-podiatry-LT-RR,podiatry,LT-RR,podiatry-routine_referral-v1,PASS
MATRIX-podiatry-LT-UR,podiatry,LT-UR,podiatry-other-v1 (fallback),PASS
MATRIX-podiatry-LT-DG,podiatry,LT-DG,podiatry-other-v1 (fallback),PASS
MATRIX-podiatry-LT-TR,podiatry,LT-TR,podiatry-transfer-v1,PASS
MATRIX-podiatry-LT-NM,podiatry,LT-NM,podiatry-other-v1 (fallback),PASS
MATRIX-podiatry-LT-OT,podiatry,LT-OT,podiatry-other-v1,PASS
MATRIX-dietetics-LT-RR,dietetics,LT-RR,dietetics-routine_referral-v1,PASS
MATRIX-dietetics-LT-UR,dietetics,LT-UR,dietetics-other-v1 (fallback),PASS
MATRIX-dietetics-LT-DG,dietetics,LT-DG,dietetics-other-v1 (fallback),PASS
MATRIX-dietetics-LT-TR,dietetics,LT-TR,dietetics-transfer-v1,PASS
MATRIX-dietetics-LT-NM,dietetics,LT-NM,dietetics-other-v1 (fallback),PASS
MATRIX-dietetics-LT-OT,dietetics,LT-OT,dietetics-other-v1,PASS
MATRIX-other_allied_health-LT-RR,other_allied_health,LT-RR,other_allied_health-routine_referral-v1,PASS
MATRIX-other_allied_health-LT-UR,other_allied_health,LT-UR,other_allied_health-other-v1 (fallback),PASS
MATRIX-other_allied_health-LT-DG,other_allied_health,LT-DG,other_allied_health-other-v1 (fallback),PASS
MATRIX-other_allied_health-LT-TR,other_allied_health,LT-TR,other_allied_health-transfer-v1,PASS
MATRIX-other_allied_health-LT-NM,other_allied_health,LT-NM,other_allied_health-other-v1 (fallback),PASS
MATRIX-other_allied_health-LT-OT,other_allied_health,LT-OT,other_allied_health-other-v1,PASS
